"counts","names"
27529,"of the"
26304,"in the"
13533,"to the"
12821,"for the"
12580,"on the"
10427,"to be"
9211,"at the"
8055,"and the"
7802,"in a"
6836,"with the"
6501,"is a"
6169,"it was"
5985,"for a"
5528,"from the"
5443,"i have"
5408,"i was"
5295,"it is"
5272,"with a"
5154,"will be"
5143,"and i"
5109,"going to"
5049,"of a"
4825,"i am"
4767,"have a"
4693,"one of"
4680,"is the"
4643,"if you"
4583,"to get"
4370,"as a"
4157,"want to"
4036,"have to"
3978,"that the"
3914,"by the"
3877,"i dont"
3733,"to do"
3663,"was a"
3658,"and a"
3637,"this is"
3622,"the first"
3580,"i think"
3579,"out of"
3568,"to see"
3555,"to a"
3490,"that i"
3411,"on a"
3286,"all the"
3250,"but i"
3222,"the same"
3191,"i love"
3138,"to make"
3083,"you can"
3027,"be a"
3016,"a lot"
2964,"he was"
2922,"have been"
2877,"need to"
2829,"thanks for"
2825,"more than"
2812,"of my"
2805,"a few"
2765,"would be"
2744,"you are"
2725,"has been"
2687,"about the"
2676,"in my"
2669,"to go"
2668,"you have"
2654,"when i"
2625,"as the"
2620,"a great"
2600,"a little"
2559,"i can"
2535,"the best"
2532,"thank you"
2529,"to have"
2509,"a good"
2504,"i had"
2498,"i know"
2477,"they are"
2469,"he said"
2455,"had a"
2455,"into the"
2436,"we are"
2378,"there is"
2301,"i just"
2298,"is not"
2239,"that is"
2202,"there are"
2181,"the world"
2165,"the most"
2163,"we have"
2150,"the new"
2138,"trying to"
2114,"so i"
2107,"a new"
2098,"like a"
2087,"over the"
2068,"so much"
2054,"do you"
2019,"i will"
2010,"lot of"
1999,"part of"
1981,"on my"
1981,"was the"
1961,"said the"
1944,"and then"
1934,"but the"
1930,"all of"
1909,"i would"
1875,"its a"
1862,"the way"
1847,"at least"
1821,"are you"
1801,"at a"
1801,"back to"
1786,"can be"
1786,"some of"
1785,"as well"
1770,"able to"
1769,"i want"
1764,"you know"
1747,"i cant"
1725,"the last"
1724,"of his"
1713,"if i"
1705,"the other"
1683,"when you"
1680,"in this"
1664,"the time"
1662,"up to"
1659,"for me"
1657,"to take"
1650,"is that"
1647,"time to"
1647,"way to"
1643,"to me"
1634,"go to"
1614,"the next"
1611,"im not"
1595,"that was"
1591,"kind of"
1588,"and it"
1573,"according to"
1553,"should be"
1550,"right now"
1549,"that he"
1544,"of this"
1541,"the end"
1541,"the only"
1536,"be the"
1536,"had to"
1532,"to my"
1521,"i could"
1515,"what i"
1511,"but it"
1505,"he is"
1499,"the day"
1442,"when the"
1439,"they were"
1429,"get a"
1422,"that you"
1414,"i got"
1414,"of course"
1405,"has a"
1404,"from a"
1402,"in his"
1395,"as i"
1392,"a bit"
1388,"me to"
1386,"that it"
1377,"to say"
1375,"with my"
1359,"of our"
1359,"this year"
