"keys","vals"
"a",1410
"aaron",0
"ab",0
"abandoned",2
"abc",1
"abilities",2
"ability",10
"able",20
"aboard",1
"abortion",2
"about",359
"above",10
"abraham",0
"abroad",4
"absence",1
"absolute",4
"absolutely",16
"abstract",1
"absurd",2
"abuse",8
"abused",2
"ac",1
"academic",4
"academy",2
"accent",5
"accept",12
"acceptable",4
"acceptance",0
"accepted",7
"accepting",1
"access",18
"accessible",5
"accessories",2
"accident",5
"accidentally",2
"accidents",1
"accommodate",1
"accompanied",1
"accomplish",2
"accomplished",3
"accomplishment",3
"accomplishments",2
"according",10
"account",13
"accountability",1
"accountable",0
"accounting",2
"accounts",3
"accurate",4
"accusations",1
"accused",2
"ace",2
"achieve",7
"achieved",2
"achievement",3
"acid",0
"acknowledge",3
"acknowledged",0
"acoustic",2
"acquired",4
"acquisition",2
"acre",1
"acres",0
"across",22
"act",27
"acted",3
"acting",17
"action",19
"actions",7
"active",9
"actively",2
"activist",1
"activists",0
"activities",6
"activity",9
"actor",5
"actors",4
"actress",3
"acts",5
"actual",10
"actually",45
"ad",8
"adam",4
"adams",3
"adapted",0
"add",16
"added",18
"addicted",4
"addiction",5
"adding",10
"addition",5
"additional",5
"address",11
"addressed",1
"addresses",1
"addressing",0
"adds",3
"adele",0
"adjust",1
"adjusted",1
"adjustment",3
"administration",4
"administrative",0
"administrator",0
"administrators",0
"admire",2
"admission",4
"admit",5
"admitted",1
"adopt",1
"adopted",3
"adoption",2
"adorable",1
"adore",1
"ads",5
"adult",7
"adults",11
"advance",3
"advanced",6
"advantage",12
"adventure",7
"adventures",1
"advertising",7
"advice",13
"advised",1
"advisory",0
"advocacy",2
"advocate",4
"advocates",0
"affair",2
"affairs",3
"affect",8
"affected",8
"affecting",1
"affection",2
"affects",2
"afford",5
"affordable",4
"afghan",1
"afghanistan",7
"afraid",10
"africa",7
"african",7
"after",207
"afternoon",18
"afterward",0
"afterwards",0
"again",77
"against",73
"age",31
"aged",1
"agencies",5
"agency",8
"agenda",2
"agent",6
"agents",5
"ages",6
"aggravated",1
"aggressive",5
"aging",2
"ago",13
"agree",15
"agreed",8
"agreement",4
"agreements",1
"agrees",2
"agricultural",1
"agriculture",1
"ah",0
"aha",0
"ahead",24
"ahh",0
"aid",6
"aide",2
"aids",1
"aim",2
"aimed",0
"aint",10
"air",15
"aircraft",1
"airline",2
"airlines",3
"airplane",2
"airport",4
"airports",1
"aj",0
"aka",0
"akron",1
"al",8
"ala",0
"alabama",6
"alan",0
"alarm",3
"alas",1
"alaska",2
"albeit",0
"albert",0
"album",13
"albums",3
"alcohol",11
"aldridge",0
"ale",3
"alert",4
"alex",7
"alexander",0
"ali",0
"alice",0
"alien",1
"alike",1
"alive",11
"all",325
"allegations",0
"alleged",1
"allegedly",1
"allen",5
"alley",3
"alliance",2
"allies",1
"allow",14
"allowed",14
"allowing",5
"allows",5
"allstar",2
"alltime",3
"ally",0
"almost",49
"alone",22
"along",35
"alongside",0
"already",51
"alright",1
"also",59
"alter",2
"alternate",1
"alternative",5
"alternatives",0
"although",9
"altogether",0
"always",54
"am",41
"amanda",1
"amateur",2
"amazed",5
"amazing",26
"amazingly",2
"amazon",7
"ambassador",1
"amber",2
"ambitious",3
"ambulance",2
"amen",3
"amendment",6
"america",17
"american",28
"americans",13
"americas",8
"amid",0
"among",8
"amongst",0
"amount",15
"amounts",0
"amy",1
"an",286
"ana",0
"analysis",3
"analyst",1
"analysts",0
"anchor",2
"ancient",5
"and",4032
"anderson",0
"andor",0
"andre",0
"andrea",0
"andrew",2
"android",6
"andy",1
"angel",1
"angela",0
"angeles",1
"angels",4
"anger",6
"angle",3
"angry",11
"animal",10
"animals",8
"animated",1
"ankle",3
"ann",3
"anna",1
"anne",4
"annie",0
"anniversary",5
"announce",5
"announced",8
"announcement",2
"announces",0
"announcing",1
"annoyed",0
"annoying",5
"annual",12
"annually",0
"anonymous",4
"another",88
"answer",23
"answered",5
"answering",1
"answers",8
"anthem",2
"anthony",6
"anticipated",2
"anticipation",2
"antique",1
"antonio",1
"anxiety",3
"anxious",2
"any",117
"anybody",9
"anymore",6
"anyone",46
"anything",71
"anytime",1
"anyway",8
"anywhere",7
"ap",3
"apart",11
"apartment",6
"apartments",2
"apologies",1
"apologize",2
"apology",3
"app",9
"apparent",4
"apparently",8
"appeal",5
"appealing",2
"appeals",0
"appear",7
"appearance",2
"appearances",0
"appeared",4
"appearing",0
"appears",4
"applause",1
"apple",11
"apples",4
"application",4
"applications",2
"applied",4
"applies",4
"apply",8
"applying",2
"appointed",2
"appointment",2
"appointments",0
"appreciate",13
"appreciated",3
"appreciation",3
"approach",8
"approached",0
"approaches",0
"approaching",3
"appropriate",10
"approval",2
"approve",3
"approved",3
"approximately",2
"apps",3
"april",30
"apt",0
"arab",2
"arc",0
"architect",2
"architects",1
"architecture",4
"archives",1
"are",552
"area",27
"areas",10
"arena",2
"arent",18
"argue",10
"arguing",2
"argument",5
"arguments",1
"arizona",6
"arizonas",0
"arkansas",0
"arm",9
"armed",5
"arms",10
"army",5
"arnold",0
"around",122
"arranged",2
"arrangement",1
"arrangements",1
"array",2
"arrest",6
"arrested",7
"arrests",1
"arrival",3
"arrive",6
"arrived",8
"arrives",1
"arriving",1
"arsenal",4
"art",26
"arthur",1
"article",9
"articles",4
"artist",4
"artistic",2
"artists",12
"arts",12
"artwork",2
"as",683
"ash",1
"ashamed",2
"ashley",1
"asia",5
"asian",6
"aside",4
"ask",28
"asked",32
"asking",22
"asks",5
"asleep",9
"asparagus",1
"aspect",4
"aspects",2
"ass",4
"assault",4
"assembled",1
"assembly",2
"assess",1
"assessment",3
"asset",1
"assets",0
"assigned",0
"assignment",1
"assist",4
"assistance",4
"assistant",7
"assists",1
"associate",1
"associated",1
"associates",2
"association",6
"associations",0
"assume",5
"assumed",1
"assuming",0
"assured",1
"at",1024
"ate",5
"athlete",1
"athletes",2
"athletic",3
"athletics",1
"atl",0
"atlanta",4
"atlantic",4
"atmosphere",2
"atop",0
"att",0
"attached",2
"attack",7
"attacked",2
"attacking",0
"attacks",3
"attempt",8
"attempted",2
"attempting",1
"attempts",1
"attend",7
"attendance",2
"attended",4
"attendees",1
"attending",8
"attention",21
"attitude",10
"attitudes",1
"attorney",4
"attorneys",2
"attract",1
"attracted",2
"attraction",3
"attractive",4
"auction",4
"audience",8
"audiences",0
"audio",4
"audit",1
"audition",2
"aug",0
"august",11
"aunt",3
"austin",6
"australia",6
"australian",2
"authentic",2
"author",6
"authorities",0
"authority",4
"authorized",1
"authors",4
"autism",6
"auto",2
"automatic",2
"automatically",2
"autumn",0
"av",0
"available",27
"ave",1
"avengers",1
"avenue",5
"average",11
"averaged",0
"averaging",0
"avery",0
"aviation",0
"avocado",2
"avoid",7
"avoided",2
"avoiding",3
"aw",0
"awaiting",1
"awake",8
"award",9
"awarded",3
"awards",6
"aware",10
"awareness",4
"away",101
"awe",1
"awesome",13
"awesomeness",1
"awful",5
"awhile",5
"awkward",4
"aww",0
"awww",0
"az",0
"b",14
"babe",1
"babies",5
"baby",23
"back",167
"backed",1
"background",4
"backgrounds",0
"backing",3
"backs",3
"backup",1
"backwards",1
"backyard",3
"bacon",6
"bacteria",1
"bad",62
"badass",0
"badge",1
"badly",6
"bag",14
"bags",8
"bail",3
"bailey",0
"bailout",0
"bake",2
"baked",4
"baker",0
"bakery",2
"baking",4
"balance",11
"balanced",2
"ball",9
"ballet",1
"ballot",1
"ballroom",0
"balls",4
"baltimore",4
"ban",3
"banana",4
"bananas",2
"band",17
"bands",10
"bang",2
"bank",11
"banking",0
"bankruptcy",2
"banks",4
"banned",2
"banner",3
"baptist",1
"bar",21
"barack",3
"barbara",1
"bare",3
"barely",8
"bargain",1
"bargaining",0
"barn",0
"barnes",2
"barrel",3
"barrett",0
"barrier",0
"barry",1
"bars",9
"base",10
"baseball",11
"based",18
"basement",2
"bases",2
"basic",10
"basically",10
"basics",2
"basil",3
"basis",5
"basket",3
"basketball",10
"bass",4
"bat",5
"batch",1
"bath",6
"bathroom",3
"batman",0
"bats",1
"batter",1
"battery",4
"batting",0
"battle",9
"battles",1
"battling",1
"bay",11
"bb",2
"bbc",2
"bbq",1
"bc",0
"bd",1
"be",116
"beach",10
"beaches",2
"beads",0
"bean",4
"beans",10
"bear",8
"beard",3
"bearing",0
"bears",5
"beast",2
"beat",17
"beaten",4
"beating",4
"beats",3
"beautiful",22
"beautifully",1
"beauty",9
"became",9
"because",208
"become",33
"becomes",4
"becoming",12
"bed",14
"bedroom",5
"beds",0
"bee",2
"beef",8
"been",60
"beer",31
"beers",5
"bees",1
"before",151
"began",8
"begin",12
"beginning",10
"begins",7
"begun",6
"behalf",2
"behavior",7
"behind",40
"beijing",2
"being",94
"beings",1
"belgian",2
"belief",7
"beliefs",4
"believe",32
"believed",8
"believes",4
"believing",4
"bell",4
"bella",1
"bells",3
"belly",5
"belong",6
"belongs",2
"beloved",4
"below",9
"belt",3
"ben",6
"bench",4
"bend",5
"beneath",1
"benefit",9
"benefits",6
"benjamin",0
"bennett",0
"bent",2
"berkeley",0
"berlin",1
"berry",1
"beside",1
"besides",4
"best",48
"bet",8
"beta",0
"beth",1
"better",85
"betty",1
"between",66
"beverly",1
"beyond",15
"bias",1
"bible",2
"biblical",2
"bicycle",2
"bid",2
"bieber",1
"big",67
"bigger",13
"biggest",6
"bike",12
"bikes",3
"bill",13
"billion",13
"billions",0
"bills",6
"billy",3
"bin",4
"bio",0
"biology",4
"bird",5
"birds",3
"birth",12
"birthday",10
"biscuits",0
"bishop",2
"bit",12
"bitch",0
"bitches",0
"bite",5
"bites",0
"bits",1
"bitter",5
"biz",0
"bizarre",3
"black",39
"blackberry",2
"blacks",0
"blah",1
"blair",0
"blake",2
"blame",10
"blamed",1
"blank",3
"blanket",2
"blast",3
"blazers",0
"bleeding",1
"blend",4
"blended",2
"blender",1
"bless",2
"blessed",9
"blessing",2
"blessings",2
"blew",6
"blind",4
"block",6
"blocked",1
"blocking",0
"blocks",3
"blog",8
"blogger",3
"bloggers",0
"blogging",0
"blogs",2
"blonde",1
"blood",17
"bloody",2
"bloom",3
"blossom",2
"blow",7
"blowing",2
"blown",3
"blows",0
"blue",20
"blues",3
"blunt",0
"blvd",0
"bo",0
"board",17
"boards",1
"boat",4
"boats",1
"bob",9
"bobby",4
"bodies",4
"body",21
"boil",2
"bold",3
"bomb",5
"bombs",0
"bond",5
"bonds",2
"bone",3
"bones",4
"bonus",4
"boo",0
"boobs",0
"book",34
"booked",1
"booker",0
"booking",2
"books",31
"boom",2
"boost",2
"boot",2
"booth",2
"boots",6
"booze",2
"border",3
"borders",1
"bored",3
"boring",7
"born",12
"borrow",2
"borrowing",0
"boss",6
"boston",7
"both",64
"bother",5
"bothered",3
"bottle",9
"bottles",9
"bottom",6
"bought",20
"boulder",1
"boulevard",1
"bounce",2
"bound",5
"boundaries",1
"bourbon",2
"bout",0
"bow",3
"bowl",10
"bowling",3
"bowls",1
"box",7
"boxes",1
"boxing",0
"boy",18
"boyfriend",6
"boys",23
"bra",0
"bracket",0
"brad",4
"bradley",1
"brady",1
"brain",7
"brains",4
"branch",4
"branches",1
"brand",8
"brandon",0
"brands",3
"brass",2
"brave",2
"brazil",3
"bread",9
"break",25
"breakdown",2
"breakfast",12
"breaking",8
"breaks",4
"breast",6
"breath",6
"breathe",6
"breathing",0
"breeze",3
"brett",0
"brew",2
"brewer",1
"brewers",2
"brewery",1
"brewing",2
"brian",3
"brick",3
"bride",2
"bridge",8
"bridges",2
"brief",3
"briefly",2
"bright",7
"brilliant",5
"bring",29
"bringing",15
"brings",7
"britain",1
"british",4
"bro",0
"broad",6
"broadcast",3
"broader",2
"broadway",7
"broke",11
"broken",15
"broncos",1
"brooklyn",5
"brooks",3
"bros",1
"broth",0
"brother",14
"brothers",10
"brought",22
"brown",15
"browns",2
"bruce",3
"bruins",2
"brunch",3
"bruno",0
"brunswick",1
"brush",3
"brutal",2
"bryan",1
"bryant",1
"bs",0
"bubble",3
"buck",2
"bucket",2
"bucks",1
"bud",2
"buddies",0
"buddy",3
"budget",10
"budgets",0
"buds",1
"buffalo",6
"buffet",2
"bug",0
"bugs",1
"build",11
"building",26
"buildings",4
"built",13
"bulk",2
"bull",6
"bullet",3
"bullpen",1
"bulls",2
"bully",2
"bullying",2
"bump",3
"bumper",2
"bunch",2
"bunny",4
"burden",1
"bureau",1
"burger",2
"burgers",1
"burglary",0
"buried",2
"burn",6
"burned",7
"burning",6
"burns",2
"burnt",0
"burst",2
"bus",12
"buses",3
"bush",3
"business",51
"businesses",7
"businessman",1
"bust",3
"busy",15
"but",958
"butler",0
"butt",6
"butter",11
"butterflies",0
"butterfly",0
"button",4
"buttons",1
"buy",24
"buyer",2
"buyers",1
"buying",19
"buys",2
"buzz",2
"by",617
"bye",1
"c",12
"ca",2
"cab",2
"cabbage",2
"cabin",3
"cabinet",3
"cable",5
"cafe",3
"cage",3
"cain",3
"cake",12
"cakes",1
"cal",2
"calendar",4
"calif",0
"california",9
"californias",1
"call",59
"called",48
"calling",15
"calls",9
"calm",4
"calories",5
"cam",1
"came",36
"camera",10
"cameras",3
"cameron",1
"camp",11
"campaign",20
"campaigns",2
"campbell",0
"camping",2
"camps",1
"campus",7
"can",168
"canada",8
"canadian",2
"canal",1
"canceled",2
"cancelled",2
"cancer",16
"candidate",7
"candidates",4
"candle",1
"candles",0
"candy",8
"canned",1
"cannot",11
"cans",2
"cant",28
"canvas",3
"canyon",2
"cap",4
"capable",6
"capacity",2
"cape",3
"capital",7
"capitol",1
"caps",2
"captain",4
"capture",5
"captured",1
"car",28
"caramel",3
"carbon",0
"card",18
"cardinal",1
"cardinals",1
"cards",12
"care",48
"cared",3
"career",19
"careers",1
"careful",5
"carefully",1
"cares",6
"caribbean",2
"caring",3
"carl",1
"carlos",3
"carnival",2
"carol",0
"carolina",4
"carpenter",1
"carpet",2
"carried",7
"carrier",2
"carries",2
"carroll",1
"carrot",1
"carrots",2
"carry",9
"carrying",5
"cars",9
"carson",1
"cart",3
"carter",2
"cartoon",2
"case",24
"cases",5
"casey",0
"cash",14
"casino",3
"casinos",0
"cast",13
"casting",3
"castle",4
"casual",2
"cat",7
"catch",14
"catcher",0
"catches",0
"catching",3
"categories",1
"category",2
"cathedral",1
"catholic",3
"cats",9
"caught",16
"cause",21
"caused",8
"causes",5
"causing",2
"cave",4
"cb",1
"cbs",2
"cc",2
"cd",3
"cds",1
"cedar",0
"ceiling",3
"celebrate",7
"celebrated",2
"celebrating",6
"celebration",8
"celebrities",3
"celebrity",3
"cell",11
"cellphone",2
"cells",2
"celtics",2
"cemetery",1
"census",1
"cent",1
"center",33
"centers",1
"central",10
"centre",0
"cents",2
"centuries",1
"century",7
"ceo",3
"cereal",2
"ceremony",5
"certain",16
"certainly",18
"certificate",3
"certified",1
"ch",0
"chad",0
"chain",3
"chains",2
"chair",4
"chairman",1
"chairs",3
"challenge",12
"challenged",1
"challenges",8
"challenging",8
"chamber",2
"champ",0
"champagne",6
"champion",2
"champions",4
"championship",3
"championships",3
"chance",22
"chances",9
"chandler",1
"change",53
"changed",22
"changes",19
"changing",13
"channel",8
"channels",1
"chaos",1
"chapter",6
"chapters",0
"character",14
"characters",11
"charge",10
"charged",7
"chargers",0
"charges",5
"charging",3
"charity",4
"charles",9
"charlie",2
"charlotte",4
"charm",2
"charming",4
"chart",3
"charter",1
"charts",2
"chase",4
"chasing",1
"chat",7
"chatting",2
"cheap",9
"cheaper",3
"cheating",2
"check",26
"checked",3
"checking",5
"checks",4
"cheddar",0
"cheeks",1
"cheer",3
"cheering",1
"cheers",1
"cheese",21
"cheesecake",1
"cheesy",2
"chef",7
"chefs",1
"chelsea",2
"chemical",1
"chemicals",1
"chemistry",2
"chen",0
"cherry",4
"chest",4
"chi",0
"chic",1
"chicago",8
"chick",0
"chicken",13
"chickens",0
"chicks",1
"chief",5
"chiefs",1
"child",25
"childhood",10
"children",34
"childrens",11
"childs",2
"chile",1
"chili",3
"chill",2
"chilling",2
"china",9
"chinas",0
"chinese",9
"chip",3
"chips",8
"chocolate",10
"choice",25
"choices",17
"choir",1
"cholesterol",1
"choose",14
"choosing",4
"chop",3
"chopped",0
"chorus",2
"chose",8
"chosen",6
"chris",11
"christ",5
"christian",7
"christianity",1
"christians",2
"christie",0
"christies",0
"christina",1
"christmas",24
"christopher",2
"chronic",2
"chronicle",4
"chrysler",1
"chuck",1
"church",19
"churches",2
"cigarette",2
"cigarettes",1
"cincinnati",3
"cinco",1
"cindy",0
"cinema",1
"cinnamon",1
"circle",5
"circles",2
"circuit",2
"circumstances",5
"circus",2
"cited",0
"cities",7
"citing",0
"citizen",3
"citizens",6
"citrus",0
"city",42
"citys",2
"civic",1
"civil",7
"claim",10
"claimed",2
"claiming",1
"claims",5
"claire",3
"clarity",1
"clark",1
"class",42
"classes",12
"classic",7
"classical",1
"classics",1
"classroom",3
"classy",3
"clay",2
"clayton",0
"clean",12
"cleaned",4
"cleaning",6
"cleanup",2
"clear",26
"cleared",2
"clearing",2
"clearly",15
"cleveland",6
"clevelands",0
"clever",4
"click",7
"clicking",1
"client",7
"clients",13
"cliff",3
"climate",5
"climb",3
"climbed",0
"climbing",3
"clinic",5
"clinical",0
"clinton",2
"clip",1
"clippers",2
"clips",2
"clock",3
"close",48
"closed",18
"closely",4
"closer",17
"closes",0
"closest",1
"closet",4
"closing",8
"closure",0
"cloth",1
"clothes",8
"clothing",2
"cloud",4
"clouds",2
"cloudy",3
"club",22
"clubs",5
"clue",3
"clutch",0
"cmon",0
"cnn",1
"co",3
"coach",16
"coaches",6
"coaching",1
"coal",3
"coalition",1
"coast",5
"coastal",1
"coat",3
"coats",0
"cocktail",2
"cocktails",3
"cocoa",2
