"keys","vals"
"a",0.0134959225085187
"aaron",0
"ab",0
"abandoned",1.91431524943528e-05
"abc",9.57157624717639e-06
"abilities",1.91431524943528e-05
"ability",9.57157624717639e-05
"able",0.000191431524943528
"aboard",9.57157624717639e-06
"abortion",1.91431524943528e-05
"about",0.00343619587273632
"above",9.57157624717639e-05
"abraham",0
"abroad",3.82863049887055e-05
"absence",9.57157624717639e-06
"absolute",3.82863049887055e-05
"absolutely",0.000153145219954822
"abstract",9.57157624717639e-06
"absurd",1.91431524943528e-05
"abuse",7.65726099774111e-05
"abused",1.91431524943528e-05
"ac",9.57157624717639e-06
"academic",3.82863049887055e-05
"academy",1.91431524943528e-05
"accent",4.78578812358819e-05
"accept",0.000114858914966117
"acceptable",3.82863049887055e-05
"acceptance",0
"accepted",6.70010337302347e-05
"accepting",9.57157624717639e-06
"access",0.000172288372449175
"accessible",4.78578812358819e-05
"accessories",1.91431524943528e-05
"accident",4.78578812358819e-05
"accidentally",1.91431524943528e-05
"accidents",9.57157624717639e-06
"accommodate",9.57157624717639e-06
"accompanied",9.57157624717639e-06
"accomplish",1.91431524943528e-05
"accomplished",2.87147287415292e-05
"accomplishment",2.87147287415292e-05
"accomplishments",1.91431524943528e-05
"according",9.57157624717639e-05
"account",0.000124430491213293
"accountability",9.57157624717639e-06
"accountable",0
"accounting",1.91431524943528e-05
"accounts",2.87147287415292e-05
"accurate",3.82863049887055e-05
"accusations",9.57157624717639e-06
"accused",1.91431524943528e-05
"ace",1.91431524943528e-05
"achieve",6.70010337302347e-05
"achieved",1.91431524943528e-05
"achievement",2.87147287415292e-05
"acid",0
"acknowledge",2.87147287415292e-05
"acknowledged",0
"acoustic",1.91431524943528e-05
"acquired",3.82863049887055e-05
"acquisition",1.91431524943528e-05
"acre",9.57157624717639e-06
"acres",0
"across",0.00021057467743788
"act",0.000258432558673762
"acted",2.87147287415292e-05
"acting",0.000162716796201999
"action",0.000181859948696351
"actions",6.70010337302347e-05
"active",8.61441862245875e-05
"actively",1.91431524943528e-05
"activist",9.57157624717639e-06
"activists",0
"activities",5.74294574830583e-05
"activity",8.61441862245875e-05
"actor",4.78578812358819e-05
"actors",3.82863049887055e-05
"actress",2.87147287415292e-05
"acts",4.78578812358819e-05
"actual",9.57157624717639e-05
"actually",0.000430720931122937
"ad",7.65726099774111e-05
"adam",3.82863049887055e-05
"adams",2.87147287415292e-05
"adapted",0
"add",0.000153145219954822
"added",0.000172288372449175
"addicted",3.82863049887055e-05
"addiction",4.78578812358819e-05
"adding",9.57157624717639e-05
"addition",4.78578812358819e-05
"additional",4.78578812358819e-05
"address",0.00010528733871894
"addressed",9.57157624717639e-06
"addresses",9.57157624717639e-06
"addressing",0
"adds",2.87147287415292e-05
"adele",0
"adjust",9.57157624717639e-06
"adjusted",9.57157624717639e-06
"adjustment",2.87147287415292e-05
"administration",3.82863049887055e-05
"administrative",0
"administrator",0
"administrators",0
"admire",1.91431524943528e-05
"admission",3.82863049887055e-05
"admit",4.78578812358819e-05
"admitted",9.57157624717639e-06
"adopt",9.57157624717639e-06
"adopted",2.87147287415292e-05
"adoption",1.91431524943528e-05
"adorable",9.57157624717639e-06
"adore",9.57157624717639e-06
"ads",4.78578812358819e-05
"adult",6.70010337302347e-05
"adults",0.00010528733871894
"advance",2.87147287415292e-05
"advanced",5.74294574830583e-05
"advantage",0.000114858914966117
"adventure",6.70010337302347e-05
"adventures",9.57157624717639e-06
"advertising",6.70010337302347e-05
"advice",0.000124430491213293
"advised",9.57157624717639e-06
"advisory",0
"advocacy",1.91431524943528e-05
"advocate",3.82863049887055e-05
"advocates",0
"affair",1.91431524943528e-05
"affairs",2.87147287415292e-05
"affect",7.65726099774111e-05
"affected",7.65726099774111e-05
"affecting",9.57157624717639e-06
"affection",1.91431524943528e-05
"affects",1.91431524943528e-05
"afford",4.78578812358819e-05
"affordable",3.82863049887055e-05
"afghan",9.57157624717639e-06
"afghanistan",6.70010337302347e-05
"afraid",9.57157624717639e-05
"africa",6.70010337302347e-05
"african",6.70010337302347e-05
"after",0.00198131628316551
"afternoon",0.000172288372449175
"afterward",0
"afterwards",0
"again",0.000737011371032582
"against",0.000698725066043876
"age",0.000296718863662468
"aged",9.57157624717639e-06
"agencies",4.78578812358819e-05
"agency",7.65726099774111e-05
"agenda",1.91431524943528e-05
"agent",5.74294574830583e-05
"agents",4.78578812358819e-05
"ages",5.74294574830583e-05
"aggravated",9.57157624717639e-06
"aggressive",4.78578812358819e-05
"aging",1.91431524943528e-05
"ago",0.000124430491213293
"agree",0.000143573643707646
"agreed",7.65726099774111e-05
"agreement",3.82863049887055e-05
"agreements",9.57157624717639e-06
"agrees",1.91431524943528e-05
"agricultural",9.57157624717639e-06
"agriculture",9.57157624717639e-06
"ah",0
"aha",0
"ahead",0.000229717829932233
"ahh",0
"aid",5.74294574830583e-05
"aide",1.91431524943528e-05
"aids",9.57157624717639e-06
"aim",1.91431524943528e-05
"aimed",0
"aint",9.57157624717639e-05
"air",0.000143573643707646
"aircraft",9.57157624717639e-06
"airline",1.91431524943528e-05
"airlines",2.87147287415292e-05
"airplane",1.91431524943528e-05
"airport",3.82863049887055e-05
"airports",9.57157624717639e-06
"aj",0
"aka",0
"akron",9.57157624717639e-06
"al",7.65726099774111e-05
"ala",0
"alabama",5.74294574830583e-05
"alan",0
"alarm",2.87147287415292e-05
"alas",9.57157624717639e-06
"alaska",1.91431524943528e-05
"albeit",0
"albert",0
"album",0.000124430491213293
"albums",2.87147287415292e-05
"alcohol",0.00010528733871894
"aldridge",0
"ale",2.87147287415292e-05
"alert",3.82863049887055e-05
"alex",6.70010337302347e-05
"alexander",0
"ali",0
"alice",0
"alien",9.57157624717639e-06
"alike",9.57157624717639e-06
"alive",0.00010528733871894
"all",0.00311076228033233
"allegations",0
"alleged",9.57157624717639e-06
"allegedly",9.57157624717639e-06
"allen",4.78578812358819e-05
"alley",2.87147287415292e-05
"alliance",1.91431524943528e-05
"allies",9.57157624717639e-06
"allow",0.000134002067460469
"allowed",0.000134002067460469
"allowing",4.78578812358819e-05
"allows",4.78578812358819e-05
"allstar",1.91431524943528e-05
"alltime",2.87147287415292e-05
"ally",0
"almost",0.000469007236111643
"alone",0.00021057467743788
"along",0.000335005168651173
"alongside",0
"already",0.000488150388605996
"alright",9.57157624717639e-06
"also",0.000564722998583407
"alter",1.91431524943528e-05
"alternate",9.57157624717639e-06
"alternative",4.78578812358819e-05
"alternatives",0
"although",8.61441862245875e-05
"altogether",0
"always",0.000516865117347525
"am",0.000392434626134232
