"counts","names"
303610,"the"
175819,"to"
153170,"and"
152191,"a"
127995,"of"
104948,"in"
104561,"i"
69740,"for"
68653,"is"
66319,"that"
59554,"you"
58160,"it"
52401,"on"
45782,"with"
39856,"was"
38596,"my"
36410,"at"
35096,"be"
34387,"this"
33990,"have"
31385,"are"
30696,"as"
30688,"but"
27196,"he"
26789,"we"
26253,"not"
24573,"from"
24340,"so"
23302,"me"
22796,"its"
20943,"all"
20720,"they"
20083,"will"
20074,"by"
19656,"or"
19555,"said"
19297,"your"
19210,"just"
19033,"an"
19026,"his"
18938,"out"
18799,"about"
18650,"up"
18296,"one"
17915,"if"
17351,"what"
17073,"like"
16790,"when"
16326,"has"
15867,"im"
15716,"who"
15665,"can"
15610,"more"
15353,"do"
14803,"had"
14671,"get"
14024,"were"
13616,"there"
13482,"time"
13254,"her"
13122,"their"
13014,"would"
12979,"some"
12577,"she"
12444,"no"
12389,"new"
11839,"our"
11708,"been"
11422,"good"
11395,"now"
11106,"how"
11101,"dont"
10899,"day"
10400,"them"
10366,"know"
10226,"love"
10000,"people"
9420,"us"
9116,"see"
9051,"which"
8999,"than"
8984,"go"
8855,"back"
8638,"after"
8618,"first"
8550,"into"
8450,"also"
8400,"make"
8168,"going"
8133,"other"
8126,"only"
8017,"last"
7996,"think"
7953,"great"
7888,"then"
7873,"over"
7743,"much"
7716,"well"
7699,"him"
7671,"because"
7420,"two"
7387,"too"
7339,"am"
7306,"really"
7276,"year"
7245,"could"
7218,"way"
7027,"got"
6963,"even"
6956,"today"
6895,"want"
6818,"work"
6581,"did"
6512,"right"
6431,"still"
6389,"years"
6273,"need"
6186,"here"
6167,"very"
6156,"off"
6140,"thanks"
6088,"where"
5942,"most"
5928,"any"
5817,"u"
5672,"many"
5668,"before"
5665,"life"
5660,"thats"
5651,"down"
5588,"rt"
5554,"those"
5498,"should"
5474,"being"
5420,"these"
5402,"say"
5389,"take"
5361,"little"
5345,"made"
5328,"come"
5325,"cant"
5241,"home"
5150,"never"
5131,"may"
5070,"best"
5057,"while"
5025,"why"
4988,"night"
4908,"next"
4872,"week"
4788,"through"
4753,"school"
4705,"things"
4529,"something"
4507,"game"
4438,"always"
4424,"didnt"
4263,"better"
4220,"state"
4190,"happy"
4190,"world"
4176,"around"
4133,"ive"
4103,"another"
4076,"every"
4066,"show"
4045,"youre"
3968,"big"
3916,"look"
3868,"long"
3862,"few"
3826,"same"
3780,"man"
3746,"again"
3714,"city"
3685,"feel"
3672,"three"
3671,"since"
3648,"help"
3640,"hope"
3636,"thing"
3627,"sure"
3615,"follow"
3569,"such"
3520,"days"
3502,"find"
3487,"use"
3471,"getting"
3463,"ill"
3454,"own"
3386,"lot"
3383,"ever"
3376,"does"
3319,"place"
3318,"says"
3293,"each"
3286,"both"
3261,"tonight"
3255,"looking"
3251,"put"
3249,"house"
3249,"keep"
3223,"family"
3208,"team"
3206,"though"
3154,"until"
