"counts","names"
2226,"one of the"
1933,"a lot of"
1503,"thanks for the"
1205,"to be a"
1125,"going to be"
989,"the end of"
981,"i want to"
933,"out of the"
928,"it was a"
850,"as well as"
841,"some of the"
815,"be able to"
766,"i dont know"
753,"i have a"
745,"the rest of"
739,"part of the"
724,"i have to"
710,"looking forward to"
682,"thank you for"
660,"im going to"
644,"cant wait to"
635,"you want to"
632,"a couple of"
619,"the first time"
616,"i love you"
616,"you have to"
609,"end of the"
607,"i need to"
607,"this is a"
602,"there is a"
600,"is going to"
580,"in the world"
543,"at the end"
534,"it is a"
528,"the fact that"
522,"one of my"
522,"to go to"
521,"most of the"
518,"there is no"
511,"to have a"
510,"i dont think"
504,"according to the"
503,"in front of"
499,"for the first"
495,"it would be"
489,"this is the"
488,"is one of"
484,"all of the"
482,"to be the"
480,"in the first"
465,"of the year"
465,"the united states"
462,"if you are"
462,"of the day"
462,"rest of the"
455,"dont want to"
455,"i had to"
455,"to make a"
444,"you have a"
436,"i had a"
434,"i think i"
424,"want to be"
423,"have a great"
421,"to get a"
417,"back to the"
403,"to do with"
399,"i wanted to"
399,"in order to"
394,"it will be"
394,"to see you"
394,"when i was"
391,"in the past"
390,"i have been"
389,"if you want"
388,"i feel like"
386,"to see the"
383,"i will be"
380,"there was a"
380,"was going to"
376,"as much as"
375,"if you have"
374,"of the most"
374,"one of those"
373,"are going to"
373,"at the time"
368,"we need to"
362,"i am not"
357,"in the s"
356,"a bit of"
356,"a little bit"
356,"more than a"
356,"you need to"
355,"in the middle"
355,"it was the"
352,"have to be"
352,"to get the"
350,"would like to"
347,"as long as"
347,"not going to"
345,"at the same"
337,"we have a"
329,"i cant wait"
329,"i dont have"
328,"the same time"
325,"let me know"
322,"if you dont"
320,"need to be"
320,"to make it"
318,"all the time"
315,"go to the"
315,"we have to"
314,"will be a"
312,"side of the"
311,"do you think"
311,"to make the"
309,"i wish i"
307,"a chance to"
305,"and it was"
304,"i dont want"
304,"to be in"
304,"what do you"
302,"that i have"
301,"the middle of"
300,"would have been"
298,"because of the"
294,"is not a"
294,"its going to"
294,"were going to"
294,"when it comes"
292,"to do it"
288,"would love to"
287,"i know i"
287,"of the best"
284,"dont have to"
283,"and i have"
283,"as soon as"
280,"to make sure"
279,"of the world"
278,"i love the"
278,"i was a"
278,"to take a"
277,"in the us"
277,"it comes to"
277,"that it was"
276,"a long time"
275,"looking for a"
275,"the top of"
275,"would be a"
274,"in the morning"
273,"a part of"
273,"in the same"
272,"in the last"
271,"do you have"
271,"in my life"
271,"it is the"
270,"so i can"
270,"the number of"
269,"i think its"
269,"look forward to"
269,"there will be"
268,"you so much"
267,"and i was"
267,"it is not"
265,"a number of"
264,"for the next"
264,"that would be"
263,"as part of"
261,"is in the"
260,"i am so"
259,"a way to"
259,"but it is"
259,"was one of"
258,"on the other"
256,"wait to see"
255,"in new york"
254,"the university of"
251,"i have no"
250,"i hope you"
249,"that it is"
248,"i would have"
247,"top of the"
245,"for me to"
245,"you dont have"
243,"i think the"
242,"but it was"
241,"has been a"
241,"to get to"
240,"is the best"
239,"im not sure"
239,"supposed to be"
238,"back in the"
237,"had a great"
237,"the new york"
235,"a bunch of"
235,"i went to"
235,"in the end"
235,"of the season"
234,"and i am"
234,"i am a"
234,"in love with"
233,"cant wait for"
233,"up to the"
232,"dont know what"
231,"how are you"
231,"look at the"
231,"trying to get"
231,"up in the"
229,"at a time"
229,"you for the"
228,"how do you"
226,"that i am"
225,"have to do"
225,"percent of the"
224,"for a few"
224,"many of the"
224,"seems to be"
223,"be sure to"
223,"the back of"
222,"but i dont"
222,"for a while"
221,"it has been"
221,"will have to"
220,"to be able"
220,"we had a"
220,"will be the"
219,"all over the"
219,"and in the"
219,"i need a"
218,"part of a"
217,"a few days"
217,"in addition to"
216,"a great day"
216,"check it out"
215,"all the way"
215,"he was a"
215,"the same thing"
214,"i decided to"
212,"this is not"
212,"want to do"
212,"you can see"
211,"going to get"
211,"it in the"
211,"members of the"
211,"so much for"
210,"for all the"
210,"needs to be"
210,"the idea of"
210,"what are you"
209,"know how to"
209,"member of the"
209,"of my life"
208,"going to the"
208,"he said he"
208,"i know that"
208,"is a great"
207,"but i think"
207,"going to have"
207,"on top of"
207,"said he was"
206,"in terms of"
205,"at this point"
205,"is expected to"
205,"of the first"
205,"to see if"
205,"want to go"
204,"a series of"
204,"we will be"
203,"i love it"
203,"to see what"
202,"has to be"
202,"have a good"
202,"i am going"
202,"is a good"
202,"thanks so much"
202,"that he was"
202,"we want to"
201,"a variety of"
201,"i used to"
201,"need to get"
200,"in the second"
200,"the only one"
200,"to figure out"
200,"to try to"
200,"was in the"
200,"you know what"
199,"and it is"
198,"to deal with"
197,"by the time"
197,"i got a"
197,"i like to"
197,"the only thing"
196,"according to a"
196,"i think it"
196,"when he was"
195,"it to the"
195,"of the new"
195,"what to do"
194,"i dont like"
194,"want to see"
193,"a little more"
193,"i was in"
193,"that i was"
193,"was able to"
192,"a group of"
192,"but i have"
192,"in the city"
192,"to do the"
192,"to say that"
192,"wish i could"
191,"as a result"
191,"i do not"
191,"to find a"
190,"in the united"
190,"of all the"
190,"on the way"
190,"there are a"
189,"director of the"
189,"thought it was"
188,"out of my"
188,"to talk to"
187,"you can do"
186,"on the road"
186,"to work with"
185,"away from the"
185,"be a good"
185,"i thought it"
185,"is the only"
185,"its time to"
185,"said it was"
184,"and i think"
184,"and i will"
184,"its been a"
184,"there was no"
183,"am going to"
183,"be in the"
183,"have to go"
182,"i didnt know"
182,"its hard to"
182,"over the years"
181,"but i am"
181,"get out of"
181,"one of them"
181,"over the past"
181,"to all the"
180,"and i dont"
180,"as far as"
180,"come up with"
180,"i was just"
180,"out in the"
179,"for more than"
179,"went to the"
178,"by the way"
178,"if you can"
178,"may not be"
178,"much of the"
177,"didnt want to"
177,"go back to"
177,"that they are"
177,"that was a"
177,"the name of"
177,"up on the"
176,"and a half"
176,"to be an"
175,"to find out"
174,"a member of"
174,"the beginning of"
174,"used to be"
173,"a great time"
172,"front of the"
172,"of my favorite"
171,"by the end"
171,"check out the"
171,"in the country"
171,"the kind of"
171,"the way to"
170,"the opportunity to"
169,"i think that"
169,"id like to"
169,"it can be"
169,"of the game"
169,"the people who"
169,"to look at"
169,"to take the"
168,"dont have a"
168,"is on the"
168,"is that the"
168,"take care of"
167,"a pair of"
167,"is not the"
167,"is the most"
167,"of the time"
166,"a few years"
165,"just want to"
165,"to have the"
165,"up with a"
165,"was the first"
164,"going to do"
164,"president of the"
164,"to talk about"
163,"on my way"
162,"be on the"
162,"i thought i"
162,"let us know"
162,"more and more"
162,"that there is"
162,"the bottom of"
161,"a year ago"
161,"in the new"
161,"that i can"
160,"and if you"
160,"are in the"
160,"being able to"
160,"i would like"
159,"and of course"
159,"i did not"
159,"i was going"
159,"middle of the"
159,"to create a"
159,"to see how"
159,"up with the"
158,"for the rest"
158,"to keep the"
158,"was a good"
157,"do you know"
157,"have a lot"
157,"i would be"
157,"the amount of"
157,"the use of"
157,"youre going to"
156,"any of the"
156,"in a row"
156,"it should be"
155,"a few weeks"
155,"i love my"
155,"in the next"
155,"that is the"
155,"that you can"
154,"around the world"
154,"is the first"
154,"more than million"
154,"that i had"
153,"for all of"
153,"had to be"
153,"will not be"
153,"you will be"
152,"in a few"
152,"in the house"
152,"that this is"
152,"to do that"
151,"a piece of"
151,"can be a"
151,"in the back"
151,"they want to"
151,"to get out"
151,"what kind of"
150,"dont forget to"
150,"for the past"
150,"in the way"
150,"of the week"
150,"what is the"
149,"dont know how"
149,"in my head"
149,"to be on"
149,"you know that"
148,"a lot more"
148,"i get to"
148,"i tried to"
148,"new york city"
148,"that we are"
148,"to pay for"
148,"to use the"
148,"with all the"
148,"would be the"
148,"you can get"
147,"all of us"
147,"he is a"
147,"is trying to"
147,"seem to be"
147,"the last time"
147,"to do a"
147,"to see a"
147,"you are a"
146,"this is what"
146,"want to get"
145,"at the top"
145,"for you to"
145,"in the state"
145,"it was just"
145,"want to know"
144,"dont know if"
144,"due to the"
144,"have been a"
144,"i dont care"
144,"it was so"
144,"no matter how"
144,"right now i"
144,"sounds like a"
143,"a good thing"
143,"based on the"
143,"i have the"
143,"in the area"
143,"in the early"
143,"in the face"
143,"one of our"
143,"the best of"
143,"there are no"
143,"to do this"
142,"and then i"
142,"at the moment"
142,"have to say"
142,"hope to see"
142,"i dont even"
142,"i just want"
142,"it could be"
142,"that was the"
142,"to all of"
142,"would have to"
141,"no matter what"
141,"the start of"
140,"i would love"
140,"out to be"
140,"to get back"
139,"and this is"
139,"bit of a"
139,"in the future"
139,"just a few"
139,"over the last"
138,"i get a"
138,"i wonder if"
138,"make sure you"
138,"me and i"
138,"out of a"
138,"the same way"
138,"the white house"
138,"to do so"
138,"to get my"
137,"be a great"
137,"i love that"
137,"not to be"
137,"the other side"
137,"the time of"
136,"for me i"
136,"i can see"
136,"i like the"
136,"the city of"
136,"the most important"
136,"to do something"
135,"but i was"
135,"thank you to"
135,"that is a"
135,"the ability to"
134,"a few months"
134,"a good day"
134,"but if you"
134,"every time i"
134,"have to get"
134,"people in the"
134,"the time to"
134,"was a great"
133,"i can get"
133,"nothing to do"
133,"of course i"
133,"the other day"
133,"the story of"
133,"was trying to"
132,"happy birthday to"
132,"im not going"
132,"of the house"
132,"some of my"
132,"the cost of"
132,"the majority of"
132,"the right to"
132,"to get it"
131,"all of this"
131,"am to pm"
131,"just have to"
131,"that you are"
131,"to do is"
131,"to have to"
131,"to work on"
131,"you going to"
130,"and have a"
130,"for those who"
130,"have no idea"
130,"i got to"
130,"more of a"
130,"the time i"
130,"to pick up"
130,"when i get"
129,"a few of"
129,"along the way"
129,"are you going"
129,"he has a"
129,"out to the"
129,"over the next"
129,"that there are"
129,"time to get"
129,"to think about"
129,"up for the"
129,"well as the"
128,"a matter of"
128,"did you know"
128,"for a new"
128,"i cant believe"
128,"in the third"
128,"my way to"
128,"of the night"
128,"of the way"
128,"the next day"
128,"way to go"
127,"could have been"
127,"for the last"
127,"i think we"
127,"in the game"
127,"it looks like"
127,"of the other"
127,"on the floor"
127,"such as the"
127,"there are many"
127,"they need to"
127,"to listen to"
127,"will be in"
126,"at some point"
126,"at the university"
126,"been able to"
126,"first time in"
126,"he said i"
126,"in the th"
126,"you and your"
125,"and the other"
125,"bottom of the"
125,"get back to"
125,"in los angeles"
